address,price,lat,lon,year
11 Concord Sq,200,42.341056,-71.078459,2009
11 Gloucester St #4,1100000,42.351046,-71.084946,2020
31 Greenwich Park,3700000,42.335651,-71.083973,2017
11 Hereford St,850000,42.351084,-71.086933,2004
11 Park Dr #19,579000,42.344604,-71.094755,2017
11 Rutland Sq,3e+06,42.341386,-71.077706,2016
9-11 Worcester Sq #4,1500000,42.33597,-71.073825,2014
55 Revere St,2e+06,42.359661,-71.068441,2008
110 Canal St,2.4e+07,42.364741,-71.060509,2021
112-118 Canal St,2.4e+07,42.364757,-71.060529,2021
110 Pembroke St,1800000,42.342403,-71.076918,2012
110 Peterborough St,8e+06,42.342973,-71.099706,2011
110 Saint Botolph St,2900000,42.344523,-71.081239,2019
110 Stuart St #23F,865000,42.351007,-71.065413,2011
110 Stuart St #22B,1950000,42.351007,-71.065413,2013
110 Union Park St #2,399900,42.340289,-71.066838,2010
110 Union Park St #2,343000,42.340289,-71.066838,2001
1109 Boylston St #20,594000,42.346649,-71.090327,2017
111-115 Newbury St,1.4e+07,42.351488,-71.075861,2007
1111 Boylston St #23,1,42.346668,-71.090363,2013
1111 Boylston St #24,1,42.346668,-71.090363,2013
1111 Boylston St #28,1,42.346668,-71.090363,2013
1111 Boylston St #29,1,42.346668,-71.090363,2013
1111 Boylston St #30,1,42.346668,-71.090363,2013
1111 Boylston St #37,1,42.346668,-71.090363,2013
1111 Boylston St #38,1,42.346668,-71.090363,2013
1111 Boylston St #41,1,42.346668,-71.090363,2013
1111 Boylston St #49,1,42.346668,-71.090363,2013
1111 Boylston St #53,1,42.346668,-71.090363,2013
Wharf St #BB,515000,0,0,2009
112 Charles St,2900000,42.359064,-71.070873,2020
102-114 Water St,5e+06,42.35791,-71.055366,2006
54-58 Kilby St,5e+06,42.35796,-71.055237,2006
112 Myrtle St,1700000,42.359249,-71.068572,2016
112 Pembroke St,2425000,42.342439,-71.076956,2013
113 Appleton St,2500000,42.345337,-71.074345,2021
1140 Washington St #2F,1337000,42.342947,-71.066904,2019
114 Appleton St #2,645000,42.345169,-71.07426,2016
114 Prince St,1475000,42.366078,-71.056858,2021
115 Gainsborough St,19400000,42.342617,-71.089809,2013
115 Salem St #C1,685000,42.364476,-71.055335,2021
115-119 Broad St,21500000,42.357301,-71.052452,2016
85-87 Wendell St,21500000,42.356918,-71.052462,2016
89-99 Wendell St,21500000,42.356923,-71.052451,2016
300 Marlborough St #1,5300000,42.351352,-71.083959,2016
300 Marlborough St #2,5300000,42.351352,-71.083959,2016
300 Marlborough St #3,5300000,42.351352,-71.083959,2016
300 Marlborough St #4,5300000,42.351352,-71.083959,2016
300 Marlborough St #5,5300000,42.351352,-71.083959,2016
300 Marlborough St #6,5300000,42.351352,-71.083959,2016
300 Marlborough St #7,5300000,42.351352,-71.083959,2016
300 Marlborough St #8,5300000,42.351352,-71.083959,2016
300 Marlborough St #9,5300000,42.351352,-71.083959,2016
116 Riverway #99,401000,42.343359,-71.104849,2016
117 Commonwealth Ave #1,8e+06,42.352391,-71.077438,2016
117 Commonwealth Ave #2,4850000,42.352391,-71.077438,2019
118 Appleton St,4175000,42.345126,-71.074423,2019
118 Charles St,1585000,42.359129,-71.070756,2003
119-1/2 Saint Botolph St,4525000,42.344261,-71.081568,2021
119 Warren Ave,1650000,42.344455,-71.074261,2010
180 Beacon St #11D,1100000,42.35455,-71.075815,2014
180 Beacon St #11E,1975000,42.35455,-71.075815,2014
12 Bradford St #2,650000,42.342809,-71.068745,2015
12-12A Derne St,1500000,42.35954,-71.063306,2022
12 Foster St,3600000,42.367416,-71.054418,2014
12-12A Grove St,1475000,42.360748,-71.068599,2011
12 Hemenway St,12500000,42.346462,-71.089265,2014
15 Haviland St,12500000,42.346305,-71.088654,2014
12 Hereford St #4,1415000,42.351148,-71.086705,2014
12 Marlborough St #3,3750000,42.354436,-71.072539,2016
12 Walnut St #4,478000,42.357897,-71.066019,2006
12-18 Lagrange St,1e+07,42.35157,-71.064231,2021
12 Melrose St #2,462000,42.349497,-71.067479,2017
100 Legends Way,3401000,42.365434,-71.062528,2003
120 Appleton St,3100000,42.345105,-71.074505,2021
120 Charles St,1920000,42.359312,-71.070894,2010
120 Commercial St #4-2,390000,42.362133,-71.052603,2007
120 Mountfort St #504,1085000,42.348404,-71.106001,2022
120 Salem St,3416000,42.364748,-71.05556,2012
126 Salem St,784000,42.365085,-71.055543,2012
120 Fulton St #7A,2072000,42.362941,-71.052695,2016
300 Boylston St #1201,5050000,42.352009,-71.069917,2021
300 Boylston St #1202,4500000,42.351851,-71.070215,2016
121-123 Beach St #101,524000,42.350656,-71.057767,2008
121 Brookline Ave,110000,42.345674,-71.10026,2010
121 Charles St S #121,540000,42.349394,-71.066649,2014
121 Pembroke St,2e+06,42.342649,-71.076867,2011
121 Warren Ave,2300000,42.344436,-71.074328,2022
121 Beacon St #1,785000,42.355004,-71.073793,2016
220 Boylston St #1210,2400000,42.352354,-71.068329,2016
133 Seaport Blvd #1219,1098000,42.350971,-71.043923,2021
1 Franklin St #4703,4300000,42.356057,-71.059157,2021
123 Newbury St,9550000,42.351321,-71.07651,2007
123 Newbury St,4350000,42.351321,-71.07651,2003
123 Pembroke St,3456000,42.34269,-71.076909,2020
123 South St #4,375100,42.351086,-71.057409,2013
123 Saint Botolph St #9,699000,42.246694,-71.177759,2019
109-153 Lincoln St,39500000,42.351394,-71.058452,2017
125 Newbury St,9450000,42.351292,-71.076618,2013
125 Pembroke St,1510000,42.342731,-71.076952,2003
126 Tremont St,11500000,42.356662,-71.06182,2022
127 Myrtle St,2100000,42.359413,-71.068846,2007
122-126 State St,6725000,42.359236,-71.055281,2012
127 Pembroke St #1,573000,42.342772,-71.076994,2014
127 Saint Botolph St,3650000,42.246694,-71.177759,2013
127-129A Newbury St,11600000,42.351263,-71.076725,2007
128 Beacon St #A,4100000,42.354908,-71.074857,2006
128 Beacon St #A,5310000,42.354908,-71.074857,2021
128 Beacon St #K,6100000,42.3551,-71.073792,2022
128 Beacon St #D,7500000,42.3551,-71.073792,2022
128 Beacon St #F,2436800,42.354908,-71.074857,2013
128 Saint Botolph St,2800000,42.344002,-71.081896,2022
70 Van Ness St,2316600,42.345067,-71.09916,2010
27 Wareham St #201,312500,42.339576,-71.067957,2002
27 Wareham St #203,312500,42.339576,-71.067957,2002
27 Wareham St #301,312500,42.339833,-71.068094,2002
27 Wareham St #303,312500,42.339576,-71.067957,2002
150 Beacon St #1,2e+05,42.354676,-71.075708,2001
150 Beacon St #1,1700000,42.354676,-71.075708,2001
128 Beacon St #D,4100000,42.3551,-71.073792,2006
128 Beacon St #C,775000,42.354908,-71.074857,2007
1280-1284 Washington St #PH,4275000,42.342255,-71.067594,2012
1280-1284 Washington St #502,2385000,42.342255,-71.067594,2018
137 Peterborough St #12A,430000,42.342964,-71.100443,2012
13 Anderson St,3e+06,42.360638,-71.06793,2021
13 Bradford St,2058000,42.342638,-71.068648,2017
13 Byron St,2125000,42.356518,-71.070233,2008
13 Garrison St,5020000,42.346065,-71.080032,2018
13 Haviland St,2209200,42.346469,-71.088364,2003
13 Hereford St,2575000,42.351084,-71.086933,2006
13 Hereford St,4300000,42.351084,-71.086933,2016
13 Wiget St,1675000,42.363997,-71.056058,2018
13 Gloucester St #1,1613000,42.350917,-71.084881,2016
251-253 Marlborough St #2,2485000,42.351967,-71.082347,2020
13 Gloucester St #3,799000,42.350917,-71.084881,2016
130 Appleton St #4C,1200000,42.34502,-71.074831,2019
130 Chestnut St,1370000,42.356484,-71.071955,2000
130 Commonwealth Ave,9500000,42.351717,-71.077546,2013
130 Chestnut St,2050000,42.356484,-71.071955,2005
130-132 Fulton St #20,430000,42.36302,-71.052604,2018
130 Lincoln St #130,849000,42.351328,-71.058226,2018
130 Myrtle St,2650000,42.359231,-71.068863,2007
130 Tremont St,5044750,42.355397,-71.063003,2007
130 Tremont St,5300000,42.355397,-71.063003,2008
120-130 Water St,2845000,42.357978,-71.055221,2001
131 W Newton St,2200000,42.34195,-71.07702,2021
131 Park Dr #31,175000,42.341493,-71.097645,2008
10 Edgerly Pl,9250000,42.349248,-71.068952,2020
Arlington St,9250000,0,0,2020
Winchester St,9250000,0,0,2020
132 Charles St #2,1290000,42.360679,-71.070868,2008
132 Lincoln St #10,625000,42.351299,-71.058238,2022
132 Saint Marys St,950000,42.345404,-71.106289,2002
